text,category,priority
laptop bag bag hello kind bag thank,Hardware,Low
mailbox for am week wednesday pm re hi permissions contained groups thanks wednesday hello coming take till create separate calendar shared separate sharing calendar different invitations regards events please create details removed kind regards engineer,Storage,Medium
and keyboard pm re purchase requests hi keyboard second monitor help please minutes create kind regards administrator purchase requests hi please assist bellow thank analyst ext hub friday pm purchase requests hello keyboard second monitor seems product catalogue under purchase requisitions suggestions help how items thank software developer,Purchase,Medium
new project code pas hello please code starting opportunity identified by coming out past he has led effort door has him work client he has had initial call along next steps formal he working schedule follow call same folks meet client mid thanks,Internal Project,Medium
editing rights pas urgent editing rights urgent hi please bellow best regards engineer editing rights urgent hello please editing rights he these accounts he needs update forecast apologies minute done possible much appreciated thank officer ext blvd,HR Support,High
user not able to comment or modify tickets sent tuesday able comment nor modify tickets hello please help being able comment nor perform any update tickets even though same groups attachments best manager colombia,Miscellaneous,Medium
log requests not working on safari sent monday november log requests working safari hi safari log request possible because submit button attached you can find screen shots requests best regards,Hardware,High
laptop blocked july re hello please log also close completed side expecting price details concerning expedition believe assigned task thank administrator ext think ctrl friday july re hi please let help issue thanks analyst ext july re hi contingency issue regards july re si la ti se si ne administrator ext think ctrl thursday july pm re eventual si cat ca la va eventual va administrator ext think ctrl thursday july pm re dimensions help mean explain etc did even option user return schedule gets approved by has twice return thank administrator ext think ctrl thursday july pm re oops july re hi july re hello dimensions weight ask price regards thursday july pm re importance high hi guys member european czech republic believe machine involve customs documentation asap believe prague back faster issue approve back costs covered by believe working way find out how much cost please thank administrator ext think ctrl thursday july pm re mean transporting prague best regards technician ext thursday july pm re dear help thanks best regards technician ext thursday july pm re importance high hi please by courier replacement asap today possible cost related transport supported by code please provide valid receive package prague thank help ext july re hello phoned spoke about issue unfortunately fix issue remote best regards technician ext thursday july pm importance high hello please advised has added queue please advise thank best regards analyst ext thursday july pm re importance high hi please solve issues asap colleague working client offices prague thank ext july importance high hello problem yesterday evening noticed sound working today morning tried restart hoping enough fix problem shown scree select continue restarts returns screen select refresh option tells hard disk locked asks please help problem asap completely please note currently short term relocation client site prague won physically kind regards,Hardware,High
request for a monitor tuesday pm monitor hello monitor tower kind regards senior developer,Hardware,Low
issue oracle time card issue card hi have issue with card status error for week could you please delete entry thank you,HR Support,High
to project tudor hi please mirroring resources thank application discipline lead,Internal Project,Low
hello please be informed we checked you have permissions you were added could you please try one more access confirm if you have access or best regards engineer sent friday october re add access site hi get style site shared with you regards sent october add access site hello please be advised you have granted write access per your request keep mind synchronization might take up minutes if you encounter any issues please feel free contact thanks kind regards analyst ext hub sent wednesday october request assigned hello please be advised record number assigned please review details take appropriate action summary request requested item details null choose request template if applicable add access site please provide short description your request add access site request details location reports users provide access members access type only write owner add requested for contact address location line manager access request please click following link kind regards ref msg,Hardware,Medium
replacement laptop replacement hello help raising replacement existing older heavy model which hinders mobility moving heavier objects around also difficult because pre existing back condition thank find out more about experience blvd floor district please refer section entities,Hardware,Medium
si confluence si confluence si secure view planning si,Access,Low
caps project schedule automatic snapshots for caps int thursday pm caps schedule automatic snapshots caps hi please schedule automatic daily snapshots volume caps keep working days addition please automatic snapshot process caps pilot needed anymore best regards software consultant design lead lead,Hardware,Medium
issues bad debts write off sent tuesday july issues bad debts write off urgent hi please raise ticket for below request thank you kind regards sent tuesday july issues bad debts write off urgent sent tuesday july issues bad debts write off urgent dear please help resolve below error asap director,Administrative rights,High
new recurrent task snow recurrent task snow hi please recurrent task snow operational summary restart description reboot task trigger every thank best regards monitoring engineer,Miscellaneous,Medium
can submit hour sent monday november can submit hour hello please check attached file button save submit kind regards analyst,HR Support,Medium
access issues people working on integration project please notes sent monday re awaiting your response access issues working integration please notes hi there much since ticket have longer escalated working properly thank you for helping manager sent monday re working integration hello provided below looks like users open using explorer can be problem why cannot access documents also we added visitors groups mean users should be able access sites documents library could you ask users if steel have problems best regards engineer sent wednesday december working integration hi seems like access rights functional integration folders think rd request forwarding you with errors spite access rights folders seems be configured print screen below showing she can access folder but way appears print screen attached she should have rights affecting users integration therefore please treat issue with priority thank you manager,Hardware,High
individual admin accounts for ms team members tuesday december individual accounts members hello please assigned order create individual accounts members permissions permissions remote shut down restart machine members accounts called called created under thanks leave notice,Access,High
oracle fusion problem sent fusion problem hello looks like there issue with card cannot delete order re enter data there something can get rid exception thank you,HR Support,High
new starter re attached location assessed february thursday october pm hi please fill thank kind regards,HR Support,Medium
read access to ad for and ad hi please active directory same level order adjust thank kind regards analyst,HR Support,Medium
people released from project friday february pm re released friday february pm re released hello please advise leaving kind regards analyst ext hub friday february pm released hello release marked date needs done other etc thanks discipline lead,Hardware,Medium
account hi investigate permissions appears thanks officer,Access,Low
clients clean up clients clean hello please assign thank kind regards clients clean hi guys please thread please move under client then delete client thanks wednesday pm re clients clean hi thanks please leave regarding second question realized encountered sorry inconvenience thanks date wednesday re clients clean hi looking clients recognized has code against which has against actual forecast advise code active delete regarding second question having duplicates problem other clients well regards wednesday pm re clients clean two requests regarding action please combine clients client under same client please duplicates because client both clear which active thanks date friday clients clean date friday clients clean hello everyone were issues clients meaning were created twice slightly different impacted budget actual sits client name while july different client name together made cleanup exercise decided which clients keep correction done same must made attached file where tried summarize which clients must deleted transfer information ones which codes must change client even close information enough please let help way regards senior planning analyst,Hardware,Medium
account locked for locked for hi can you please help colleague log her laptop message appears laptop referenced currently locked out thanks regards accounts receivable accountant,Access,Medium
create new mail enabled user for create user hello please create user name name review tool display name review tool users regards developer,Access,Medium
admin update for clearing wednesday re update clearing hi again looking clearing has updated please take care ideally myself update according recent changes regards,Miscellaneous,Medium
for picture sent monday february for blurry profile picture hello have issue with profile picture for does matter what resolution photo upload image always shows up blurred since or remove picture button greyed out uploaded photo through have also tried resizing photo suggested resolution for but image still shows up low quality could you please let know if there something here thank you engineer ext en,Hardware,Medium
wants to access resources wants resources signature accept decline requests,Storage,Low
change of career change dear please change myself thank senior,Miscellaneous,Low
expand mailbox space wednesday please expand mailbox want more mailbox almost cannot delete want keep future references please allocate more thank senior developer,Storage,High
new project code pas wednesday pm code hi please create code per attached document thank best regards programme portfolio officer,Internal Project,Medium
re notification windows forced upgrade re notification forced upgrade hello have issues with update because can find software center mention connected with wired cable could you advise attached with software center can be useful thank you best regards sent wednesday december notification forced upgrade importance high hello everyone if you already have upgraded your workstation we thanking you for being receptive you can disregard message last months you have received announcements advising you apply upgrade we coming back you with announce asking you understand upgrading mandatory you still have possibility upgrade by end week we kindly asking you give some for action take more than minutes apply upgrade please announcement below attached file only after proceed upgrade forced upgrade procedure start offices your means upgrade process automatically start your workstation you be able stop process we advise you press button stop process avoid any data loss important note please understand you have full responsibility for your files if you have dependency you need remain your current version please notify asap if your workstation having less than try free up some space if you know how please require assistance please article before kb view article kb you can use subscription temporary store your files please make files completely synchronized with before unlinking your laptop subscription please kb for more info kb view article kb forced upgrade procedure start if you physically one connected wired if you experience some issues during upgrade process please contact for you can always get contact your thank you kind regards ext,Administrative rights,Medium
information submitted expense report approval for information submitted expense report approval for dear can you please investigate why able charge pre sales code where belongs highlighted comment below allocate there pre sales cost belongs against code regards sent information submitted expense report approval for access task application or take direct action using links actions approve reject request more info expense report approval for details assigned date task number report period report total approximately submission date purpose visit expense items meals clients lunch requires your approval task code cost center original receipt required imaged receipt required itemized comments what tried originally but apparently does meal type can you please withdraw put against thanks data display recent similar expense date amount meals clients meals clients meals clients meals clients recurring violations violation type occurrences data display recent returned reports expense report number submission date report total data display unapplied advances status due date balance data display,Miscellaneous,Medium
snow account for snow,Access,Low
ooh report for december to december ooh report for december december hello please log incident investigate why attached sent by few minutes after did reach least some overnight report list how have received what for field received straight away thanks operations manager sent december ooh report for december december thank you best regards analyst sent wednesday december ooh report for december december hello please find below summary for last out hours period yesterday today overview priority number incidents client canada web cal shared infrastructure incidents client status summary assigned assignee owner priority reference resolved lost badge canada open break glass password request for resolved visible external incidents client status summary assigned owner priority reference hold multiple polls down high shared infrastructure open critical problem high hold poll custom build status down high cal hold incident assigned cal cal high cal hold incident assigned cal cal high cal hold incident assigned cal cal high cal hold incident assigned cal cal high cal hold incident assigned cal cal high cal hold incident assigned cal cal high web open br gift card campaign phase testing blocked region web high hold poll custom ran last hours status down high thank you kind regards specialist,Miscellaneous,High
create contact accounts and them access to confluence wednesday march re confluence accounts apologies mistake part also please create additional users evans evans thanks,Access,Medium
hardware requirements tower hardware requirements tower hello hardware build test environment client working needed about until client test platform discussed few workstations each please note these resources needed short term thank kind regard technical consultant zone,Hardware,Medium
oracle reporting error when trying to view report error when trying view report hi getting following error please can you advise thanks view display error driver returned error common error details error codes code error occurred please have your administrator look log for more details error code message returned obis please have your administrator look log for more details error code query failed please have your administrator look log for more details error code please have your administrator look log for more details error code request exceeded maximum query governing execution please have your administrator look log for more details error issued set variable preferred preferred select reported cards real unit unit name reported cards real name reported cards real number reported cards real reported card details card start reported cards real card status card status name reported cards real date reported cards real month reported cards real worker employee display name reported cards real worker employee name reported cards real worker manager name reported cards real worker name reported cards real unit unit name left reported cards real name locate reported cards real name reported cards real reported cards reported hours reported cards real fetch rows only client manager,HR Support,High
internal audit admin accounts with password set to never expire pm accounts never expire hi noticed accounts never expire justifiable reason please apply policy these accounts thanks,Access,Medium
new setup ad re setup has assigned hi dear please ad information thanks engineer,Internal Project,Low
new starter please,HR Support,Low
access to directory july directory hi please give directory reports view regards lead,Storage,Low
alert database status re incident alert database status assigned hello can you please re open or raise another incident because issue reappeared thank you very much engineer managed phone,Miscellaneous,Medium
customer password reset hi thanks senior id image,Access,Low
new starter confluence bucharest re hello find requested form thank pm hello please fill date thank administration officer,HR Support,Medium
builds through on new thursday pm builds hello guys since come please advise regular builds build without luck loads image then restarts process over again behavior reported other locations too eliminate device please log investigate issue kind regards engineer ext,Hardware,Medium
additional servers for tuesday pm additional hello besides testing environment additional ones repository keep artifacts creating bamboo other because high load actual slow performance attached configuration please give more details about next steps these cheers senior engineer,Access,High
oracle notifications issue issue hello seen attached appear multiple times for same thing even when accessing approving notification does disappear can you have look into thanks manager,Miscellaneous,Medium
address your help help guys please help organize extension ex want testing course thank much communication specialist,HR Support,Medium
exchange server work as well cannot use mail sent wednesday october server work well cannot use,Administrative rights,High
access to repository thursday pm repository hi write repository users think permissions thanks regards,Access,Low
noticed issue with oracle rand pare ca ultima annual leave si se approved entered cat se issue senior developer,HR Support,Medium
new starter thursday october ref date hi extension please assign her requested similarly requires her extension having moved perhaps reassign said extension allocated thanks october date hi please advised assigned queue further help please kind regards analyst ext hub october date attached please help everything prepared friday thank october date hi please take fill order complete upon her arrival thank analyst ext hub wednesday october pm date hello please fill enclosed details required similar thanks,HR Support,Medium
password reset for external user tuesday pm expire days importance high hi please help maybe change provide thank mobile next vacations february tuesday pm expire days importance high forgot mention commercial change street manchester mob expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after,Access,High
november expenses switch november switch hi guys please move which currently booked under journal import invoice voucher number invoice description flight tickets supplier supplier site invoice type journal import created flight tickets best regards,Miscellaneous,Medium
document type retrieval from cannot retrieve attribute value for each document site also if possible please add other default for attribute,Hardware,High
new delivery hello received items po monitor po monitor po monitor po monitor po please advise please log thank engineer,Hardware,Medium
monthly restart of the controller thursday february pm restart controller dear please log name category application telephony summary restart controller description please thursday every restart controller later also controller please sd leaders restart done other works scheduled same please established thread sd leaders ahead by friday pm latest expected downtime minutes teams working during frame notified prior restart after restart checked alerts call number successfully after controller reboot call number successfully after controller reboot calls going sd hitting controller phones show while logged name infrastructure hardware priority assigned thank kind regards reference reoccurring controller,Hardware,High
tools to be installed on from july pm tools installed hello please log install tools thank,Administrative rights,Medium
converted to request to have reference of the newly created record on the cancelled one converted hello could you please log incident with following details was converted however there note incident request says raised incident kind regards specialist,Miscellaneous,Medium
mailbox full sent july mailbox full importance high hello could you please assist able receive anymore thank you leader,Storage,Medium
mouse allocation wednesday pm mouse allocation dear please log mouse allocation mouse has assigned thanks kind regards engineer,Purchase,Medium
network access on mobile devices wednesday july mobile devices hello contacting regarding mobile device want connect mobile devices order perform testing activities assigned please let further details follow steps order permission thanks best regards tester,Hardware,High
addresses change request thursday pm addresses change hi due issues were changes machines directory directory test apply changes also directory removed,Miscellaneous,Medium
conference phone disconnected meeting room tuesday july phone disconnected meeting room hello please log issue si pot call call unavailable si meeting room la si ca magically thank engineer,Hardware,Medium
approval for wednesday february pm hi please add functionality thanks head,Miscellaneous,Low
build error please assist sent wednesday march build error please assist importance high hi there urgent need deliver build client job used create prepare build least by executing some smoke tests falling with following error started by loading node environment variables building remotely slave cleanup deleting cleanup done cloning remote git repository remote counting objects remote compressing objects receiving objects resolving deltas updating references checking out revision ac refs origin master were triggered bin sh sh cd main resources bower update sh line bower command found build step execute marked build failure bin sh sh cd target sh line cd target such file or directory build step execute marked build failure started calculate disk usage build finished calculation disk usage build seconds started calculate disk usage finished calculation disk usage seconds was triggered for always sending for trigger always sending finished failure if failure happening because slave would need some assistance have issue fixed considering tomorrow morning latest build needs be delivered client thank you best regards applications engineer en,Hardware,High
error error hello forgot set location while entering cannot amend cannot delete could you have look please maybe clear entire week can add them again thanks senior developer,HR Support,High
engagers engagers dear colleagues please add engagers thank thursday october pm re engagers dear colleagues add engagers well thank thursday october pm engagers dear colleagues pleas add engagers thank thursday pm re engagers regarding thursday pm engagers hi pleased part engagers please help thank much best regards officer,Miscellaneous,Medium
update work location exchange wednesday pm re update work location hello please advised work location changed well kind regards re update work location hi made update thank wednesday pm update work location hi kindly ask update work location tower working he has returned starting kind regards senior,Hardware,Medium
access to confluence tuesday hello please confluence platforms thank tester,Access,Low
oracle and pas project setup friday pm re setup yep thank regards officer friday pm setup hello please provide details attached form thank analyst community builder ext hub friday setup has assigned hi please informed record number contains incomplete setup form unable both please reminded template mandatory thus please fill description please assist thank kind engineer,Internal Project,High
review assets with location not defined and update them december pm review assets location defined update dear please assign review assets location defined update senior consultant,Administrative rights,Medium
time card problem card problem hi trying submit card for get connection server failed status thanks senior developer please consider environment you really need print,HR Support,High
can access domain pm hello floor connected slot,HR Support,Low
upgrade to windows upgrade hi upgrade os possible best regards,Administrative rights,Low
adding dear please add thank,Miscellaneous,Low
sites decommission please ahead decommission attached sites resources,HR Support,Low
document to be copied from to document copied dear please copy regulation location reg intern under lieu procedure also make document visible employees appreciate later than tomorrow please once copied thank much administration officer,HR Support,Medium
need access tuesday march pm hi view urgent please let thank regards senior test lead,HR Support,High
room booking visibility room booking visibility hi idea person has booked room visible person booking visible other rooms checked same his profile issue report won fixed emergencies useful person booking room example thanks client engagement,Hardware,Medium
new assistance needed wednesday october pm has invited hello please help upload content logo attached description bellow digital evolution revolution digital content created consumed ever more innovative low cost controlled by user making driving potential enable forms consumption streams means help build transition models efficient agile models deliver better cost flexibility cope demands event driven help make legacy while introducing platforms interaction models head head calendar events thanks best regards wednesday october has invited site shared follow site updates,Hardware,Medium
complaint tickets logged as duplicates by the system friday pm complaint tickets logged duplicates by hello please update complaint records logged duplicate please delete same same cancelled please delete thanks best regards care,Miscellaneous,Medium
confluence external users audit disable external user disable advised by user part other groups wednesday february re confluence users hi please proceed process users leavers fit description suggested kind regards re confluence users hi think procedure necessarily visibility over accounts disabled moved advise regards confluence users hello please note removed confluence make understood correctly part other groups please process accordingly disable accounts thank analyst ext hub pm confluence users hi please log confluence users also part other groups please process accordingly details needed let thank re confluence users hi please find dates specified users best regards,Access,Medium
saturday pm reported by requested by contents tempered glass galaxy actions create replenishment actions perform order number thanks administrator phone,Purchase,Medium
create monthly fusion reminder to raise ticket for monthly codes review user level february friday february pm create reminder codes review user level dear please log person logs take ownership progress due name category application telephony summary codes review user level description codes due expire expired update accordingly document kb both excel document expired section console find leavers inactive due expire codes person codes change name owner name priority assigned thank kind regards reference reoccurring,Internal Project,Medium
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
